Response Number,Answer,Therapist
R1,"Seasonal Affective Disorder (S.A.D.) is a term that reflects how many people are affected by the changing seasons, especially fall to winter.  Everyone suffers with some form of this (lessened activity levels, increased isolation, etc.) while some find that this time of year can put them into a deeper depression. If you have noticed that this happens frequently, there are some ways you can definitely help yourself going forward:1. Attend therapy to learn strategies and tools to help you to manage your mood.  It's important to stay within the therapy until you feel you have mastered these tools. 2. Push yourself to interact more with your social groups and other positive activities. It's easy to go out and spend the day outside in the summer months, when the temperature is warm and the sun shines for long periods of the day, but it seems harder to find fun ways to spend your time when the temperature drops and darkness comes on so quickly.  Perhaps winter time could become the time of year where you and your friends have weekly board game nights, complete with hot chocolate and a fire?3. You may want to consider the purchase of a S.A.D. Light.  These are lights that expose you to additional ultra violet light to increase the vitamin D in our bodies, as well as the release of growth hormone (which releases when we wake up). There are mixed reviews of these products, however, and they can be expensive.",Cimberly R. NeskerRegistered Psychotherapist (3579)
R2,"I would suggest some holistic approaches, such as getting your Vitamin D and iron levels checked. Make sure you are eating well, exercising, and getting outside when you can. Take a trip to someplace warm if possible. Use a sun lamp in the morning for 30 minutes to simulate sunlight. Seek professional health to gain coping skills and other ways to manage symptoms.","Christy FoggMarriage, Family, Individual, Premarital, and Teen Counseling"
R3,"Thank you for sharing. It seems like since the ""winter blues"" happens to you every year it may also be impacting your quality of life and possibly relationships. What you report sounds like you may be experiencing Seasonal Affective Disorder (SAD) and is quite common to many from about fall thru winter seasons; but, also can impact folks during the Spring and summer months.The best care and treatment for SAD includes discussing it with your PCP (primary care physician), integrating light therapy (full-spectrum lighting) throughout home and workplace (where possible), psychotherapy, and possibly medications (e.g. Wellbutrin XL, Aplenzin).Be sure to exercise good self-care and checkout the Mayo Clinic's website for SAD here: http://www.mayoclinic.org/diseases-conditions/seasonal-affective-disorder/basics/definition/con-20021047.","Frank TheusMA, LPC, NCC, CSAT"
R4,Light therapy is very helpful. You are not alone. The name for the condition is Seasonal Affective Disorder (SAD). You might want to see a therapist to assist you putting in place a behavioral program to help change the way you feel.,Richie (Yerachmiel) DonowitzExperienced - Compassionate- Measurable Results
R5,"I can understand the winter blues can truly be a hurdle in your life.  I wanted to share these two videos that could be beneficial in your search to combat your winter sadness.  The REAL irritation behind Winter IllnessHow to feel held, holiday warm, at home, nurtured, in a winter wonderland!",Dr. Meredyth LawrynceServing Clients Nationwide
R6,"The winter blues can be really tough to deal with, and are quit common. Because the winter blues can be caused by a variety of things, if you have not been evaluated by your healthcare provider I highly recommend you do so.  Here are some key tips I use to help individuals cope with the winter blues:1) The winter blues can be caused by the seasonal invariable fluctuations in daylight.  Using light box therapy is one way to help.  Light box therapy mimics outdoor light. Researchers believe this type of light causes changes in the brain that lifts your mood and eases other symptoms of the winter blues.  All light boxes are designed to do the same thing, but one may work better for you than another. For some, the use of light box therapy may be more effective when combined with other treatments for the winter blues such as counseling and/or medications for depression. it is always best to talk to your health care provider about choosing and using a light box so the treatment and dosage is right for you.2) Keep a consistent routine that does not vary with seasons, vacation, feeling well or feeling bad. Consistency is key to keep a stable mood.  Keep consistent with sleep and wake times, the times of day you eat, exercise, and socializing with others.  The more consistent you can be the better. Your brain knows what to expect from you and when.3) Exercise!  Exercise is not only great to help you sleep better and shed pounds.  Exercise is also the world's most underused anti-anxiety and ant-depression tool.  When you exercise your brain literally releases its own (endogenous) chemicals to alleviate anxiety and depression such as serotonin (a common substance in anti-depression and anti-anxiety medications).  Exercising every day is giving yourself a dose of your body's anti-anxiety and anti-depression substances, which is amazing.4) Sleep is a huge predictor of mood.  In fact, sleeping longer than 7-9 hours per day is a strong predictor of a depressive episode.  Just as insomnia and depression are intimately related.  Consistently practicing sleep hygiene is key to preventing a mood episode. The more consistent you are the more you will go to sleep and stay asleep during the times you want to.  This includes 1) going to bed at the same time every night; 2) waking up at the same time every morning (even if you slept poorly the night before); 3) avoiding naps, but if you need a nap it is best to do so every day around the same time before 2pm and to not nap for more than 30 minutes; 4) using the bed for sleep and sex only (so, no TV, no computers, no smart phones); and 5) limiting caffeine to no more that 250 mg/per day (two 8 ounce cups).  The phone app Sleepio is a tool that can help you adopt the above steps.  If you are having trouble adopting or maintaining this routine, see your health care provider or counselor for further evaluation and help you get on track.5) Limit alcohol intake and other substances of abuse. Most of which ""depress"" your nervous system.  When you add a depressant to an already depressed nervous system, even though you may feel temporary relief, you create a ceiling for how much your mood will improve.  For specific guidance on ""safe drinking"" guidelines see the CDC's Facts About Moderate Drinking at: https://www.cdc.gov/alcohol/fact-sheets/moderate-drinking.htm.6) Keep your social life.  Positive social support is the strongest and most robust tool we have to cope with stress, low moods and adversity in life.  Social support can be a friend you know will pick of the phone when you call.  It does not have to be someone that is nearby.",Kimberly SwansonExperienced psychologist with an emphasis in health psychology 
R7,Seasonal depression may be something you are experiencing. The great thing is that every fight can be won with a plan. You can create a game plan for what do to or where to be during this season. I would connect with someone to create that plan. Implement it when the winter season comes again and see if you have the same results as last year without having a plan.,"Michele RameyMRTherapy, LLC- Because Help Is One Of A Kind"
R8,"I am glad that you are getting ahead of this by noticing this seasonal pattern to your depression. Winter depression (seasonal affective) is something that affects a lot of people both people who also deal with other kinds of depression that happens to get worse in the winter as well as people who just deal with depression in the winter. Light affects how our bodies release and absorb neurotransmitters such as serotonin and most believe that a major contributing factor for winter depression is that we get less light when it is colder outside and darker outside. Exposure to light can make a big difference. If you are someone who is awake during the day (not someone who works the night shift :) )---one simple change you can make is keeping your curtains in your bedroom light enough as to let some light in in the morning. This will give you light right off the start of the day and can make it easier to get going in the morning. Beyond this, keeping windows cleared from blinds so that you get that natural light or even taking a short 10 or 15 minute walk each day can get you both light and exercise to help fight off the depression. Outside this, as others have suggested a light box is a popular method of warding off the depression however some of these may expose you to UV light and so this is something to check in with both with the light box manufacturer and with your doctor to make sure you have a good understanding of the risks and benefits for that. Lastly, just making sure you continue to do things that lift your mood, that you have time with other people, and that you reach out if you do find yourself in a space of needing help are all things you can do to ward off the depression. Wishing you well!",Jennifer GerlachYour Story Matters
R9,"This is actually pretty common. When winter hits, we tend to find ourselves huddled inside from the cold. Not to mention the sun is out for a much shorter time. It will be helpful to get as much sunlight as possible. Get outside when you can. Open up the blinds and drapes. Use a sunlight if you want to (amazon has some for reasonable prices). Stay connected to friends and family. Try to engage in activities that make you feel positive, productive, and connected.","Christina McGrath Fair""Enlightenment is when a wave realizes it is the ocean."" -Thich Nhat Hanh"
R10,"Cold climate is often accompanied by grey skies, snow and
ice. The elements along with wind, windchill and severely cold temperatures may
lead to feelings of sadness, anxiety, and low energy. For some people these
symptoms occur each year from late fall to early spring and may be suffering
from a condition known as Seasonal Affective Disorder (SAD). Whether you have
been diagnosed with SAD or are finding yourself struggling with the “winter
blues” for the first time here are some suggestions for feeling better and
staying healthy.1. Nutrition Most likely you have
heard the term “comfort food.” These foods and snacks are high in
carbohydrates, sugar and fat. Avoid overeating cookies, cakes and candy. Chose
vegetables, fruit and protein for snacks and plan balanced meals. If you find
yourself wanting to eat or snack throughout the day, ask yourself why you are
eating. Are you hungry? Or Are you eating because you are bored?2. AlcoholKeep in mind that alcohol is a depressant so consuming wine,
beer or liquor when already feeling sad, anxious or depressed will only add to
your symptoms. Do not consume alcohol while engaging in outdoor activities such
as snow removal, skiing, or ice fishing. If you find yourself reaching for an
additional glass of wine or beer be mindful and ask whether you are doing it
due to boredom. Instead of mindlessly taking another glass of alcohol, drink a
glass of water. 3. SunlightGet
out in the sunlight or brightly lit spaces, especially early in the day.4. Be activeIf you are unable to go to your favorite gym, exercise class
or go for a run, find a way to stay active in your home. There are a lot of
short, instructional programs available on YouTube that you can follow to do
some gently yoga, dance, or do strengthening exercises using only your body
weight.5.  Reach out for help
Confide in someone you trust about how you are feeling. Do
not hesitate to contact a counselor if you feel that you are becoming more
depressed and anxious. If you experience thoughts of suicide call the National
Suicide Prevention Lifeline at 1-800-273-8255.",Meg McKeon
