Response Number,Question,Answer,Therapist
R1,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","Hi!This is a great question!The term you are looking for is alexithymia, the inability to identify and describe emotions in the self. However, just because you are not able to feel or express emotions, does not mean that you do not have emotions.After such a traumatic event that you experienced, your central nervous system goes into defensive mode (dorsal vagal nerves) that protect you from any further harm. What this means is if you were to feel your emotions related to your rape, you would have a sense of being overwhelmed, possibly re-experiencing the traumatic event.Not feeling emotions is your body's way of protecting you from any further trauma. Unfortunately, when the (parasympathetic) dorsal vagal system (shutting down feeling) is activated and suppresses your painful emotions (pain, shame, guilt, sadness, anger), it also shuts down your positive and relational emotions (love, joy, contentment, connectedness, happiness).I am very sorry that you had to go through such a traumatic experience as being raped. No one knows what is going on inside of you as a result. You don't know what is happening to your emotional wellbeing! The best (and at times, difficult and scary) thing is to process your emotions related to your trauma. This processing is done carefully, with a trained counselor, in a place that you feel safe, heard, and not judged. Although the thought of proceedings (addressing) emotions may be anxiety-inducing, it brings on a huge sense of relief and validation.What you are going through is normal, considering what happened to you! I hope you reach out for more help.If you have any questions feel free to contact me, Catherine at clevelandemotionalhealth.com",Catherine Cleveland
R2,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I'm so sorry you've been hurt.  It's very normal to stop feeling emotions as a way to protect yourself after experiencing a traumatic event.  You can think of it as emotional shock-- you experienced something that was so awful that you have numbed yourself (mind and body) as a way to stop the emotional and physical pain of the event.  It's actually pretty amazing that our selves know how to do this automatically.  And, I hear you saying that you'd like to get some feeling back now.So here are some ideas for how you can change this:I think it would be a great idea to find an experienced therapist you like and trust and/or a good support group so that you can have some allies as you go through this process.  You also could try journaling.  If you're not sure what to write then check out this list of prompts to get you started (it's for teachers, but I really like it).  There's also art journaling.  Pinterest has lots of suggestions.Meditation could be useful.  There are lots of apps available that offer guided meditations.Yoga, tai chi, or chi gong might also help.I have lots of other ideas, but without knowing more about you I'm reluctant to make suggestions that could accidentally make you feel worse.  IThis protective mechanism of numbing yourself kicked in for a good reason and as you get your feelings back, you may find some pretty challenging reactions coming up.  I guess my final piece of advice to is encourage you to trust yourself and gently go at your own pace in your healing.  I hope this was helpful.",Ruby Booth
R3,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","Terrible things do happen in life, and I am sorry to hear about what happened to you. Please rest assured that you are not a sociopath, and that your reactions are normal responses to traumatic events. I'm guessing you are experiencing a sense of numbness, which is a common response to trauma. The best thing you can do is to get some trauma counseling with a professional counselor.  As you process your experience, you will be able to feel emotions again. However, the first feelings to come back may be related to trauma, such as fear, panic, and a sense of hyper vigilance. A professional counselor will be able to help you tolerate these feelings, manage them, and heal from your trauma.",Lola Georgwww.GeorgAssociates.com
R4,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","It’s common to feel numb after a distressing event like this, you are not alone. Often people with extensive trauma have difficulty talking about it. This lessens the impact of traditional talk therapy and there benefits. There is a helpful therapy called EMDR that is limited in the amount of talking and also has quick benefits for the reduction of symptoms. For those who are in great distress you can also complete EMDR therapy every day if you would like/have the means. This can quicken the recovery time from these distressing life events.","Elena Engle, LMHC, EMDRVery Good Counseling"
R5,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","You have experienced trauma. Feeling detached or having difficulty connecting with your emotions is a common response after experiencing a traumatic event. It is the brain's way of trying to protect us from something that is incredibly overwhelming. I recommend finding an EMDR therapist. Eye Movement Desensitization and Reprocessing (EMDR) therapy is an integrative psychotherapy approach that has been extensively researched and proven effective for the treatment of trauma. As an EMDR therapist can attest to the massive changes that using EMDR has had for many of the people I have worked with. When we experience a trauma, the sooner we can address it with EMDR, the quicker you will feel relief and the less likely it is to become ""stuck"" in your long term memory.",Jennifer Jenkins-BoitnottEMDRIA Approved Consultant & Certified EMDR Therapist
R6,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","So believe it or not, this is actually very common.  First off, take a deep breath. It does NOT mean that you're a sociopath. All it means is that your brain has shifted into ""survival mode"" for a time and might need a little support to get back to normal. Our brain can play tricks on us after a trauma. One thing that most people experience is the desire to ""push away"" or to avoid reminders of the trauma which include feelings of anxiety, guilt, anger, fear, and sometimes shame. And, if you think about it, that's entirely understandable. Who would want to feel those yucky feelings or to be reminded of the trauma? But here is the catch... the more we try to push those unpleasant emotions away, the more we are actually pushing away our ability to experience positive feelings. Emotions such as happiness, excitement, or closeness with loved ones become increasingly difficult to access. MOST trauma survivors will experience this ""emotional blunting"" and is actually one of the things we look for when giving a diagnosis of Posttraumatic Stress Disorder.But there is good news! Specialized trauma therapy using evidence-backed approaches can help us to experience the emotions we're trying to push away in a safe environment. It's like our brain needs to fully ""digest"" what happened in order to return to emotional balance. There are several approaches that can help you recover after a rape (or other traumas).  These might include: Cognitive Processing Therapy Prolonged Exposure TherapyWritten Exposure TherapyEye Movement Desensitization ReprocessingWhen you're considering looking for a therapist, I'd strong encourage you to look for someone trained specifically in one of these approaches. There are mountains of research studies showing that these therapies have the best success rate when recovering from things like rape, a life threatening experience, a natural disaster, or other traumatic experiences. Breathe in, breathe out. You survived and life CAN get better. Trauma therapy is usually time limited (3-4 months) and can help you take your life back. You can do this!","Eric KollGold standard trauma therapy for adult Nerds, Geeks, Weirdos, and Misfits"
R7,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","The fact that you are concerned shows that you absolutely have emotions about lacking emotions.  Seems like you fear that you are becoming a sociopath, and that alone shows you have emotions.It is incredibly normal to feel ""numb"" after a trauma like rape.  The emotional impact of rape can be beyond overwhelming, which the brain responds to by basically suppressing those circuits from awareness.  It doesn't mean your emotions don't exist--you brain is just trying to protect you from feeling them.  Because our brains aren't great at selectively burying emotions, it tends to take them all at once.  So when new, emotionally upsetting events happen, the brain sees allowing any emotion through as a threat to the system, so to speak.Speaking to a counselor could help to process through how you are feeling about lacking emotion.  If you search in your area or online for a telehealth therapist, chances are you will find a therapist that has a background in treating trauma that would suit your specific needs.  That may mean that they will recommend talking through your trauma, which can seem like a very daunting task; however, the sooner you process through it, the less it has the power to take over your life.It's actually really astonishing that you are reaching out for help and I so hope you are able to find what you need!","Kaileen McMickle, MS, LPCLicensed Professional Counselor"
R8,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I don't need to tell you that this is an incredible amount of serious stuff to happen in a short period. When we go through a trauma, it is natural for us to shut down as a way to protect ourselves. A kind of freeze response. Think of a possum or a gazelle. These animals go so far as to physically freeze in protection. Our emotions do the same thing sometimes. We feel shut down and that can be strange---a kind of disconnection. This does not mean that you are sociopath or that your feelings will never come back.  The amazing thing though is that as time moves forward we naturally heal and emotions come back. If you feel stuck, seeking counseling is a way to help accelerate this healing and help you work through and begin healing. Wishing you the absolute best!",Jennifer GerlachYour Story Matters
R9,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I’m sorry to know this happened to you! This is a normal response to traumatic events. When we are pushed to the extreme and we are unable to escape, we “freeze” which numbs us from pain but disconnects us from our bodies. We oftentimes continue to feel that disconnection until we work through these traumas. I would suggest working through your traumas with a therapist with methods like EMDR, somatic experiencing, yoga therapy, etc to get your emotions and fullness of life back!",Porsche Fryehttps://bmindfulcounseling.com
R10,"Is it possible for a person to stop feeling emotions? I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I am so sorry this has happened to you! I hope you have some people you find emotionally supportive around you! In terms of your question, I understand what you are talking about. Sometimes when a person experiences a traumatic event, an event called Dissociation occurs. Dissociation is the brain's way of temporary creating and increasing  ""emotional distance"" between what is happening and what you are feeling and experiencing. This is a kind of natural coping mechanism, and it can occur just prior to, during, and after an event has occurred. People describe the feeling as being ""numb,"" or detached from others, their surroundings, and even from their own body. All of these descriptions are accurate and they are your brain's attempt to try and keep you safe from emotions that may otherwise overwhelm you. This is good, in the short-term, because you are not having to immediately face and cope with the immensely painful feelings associated with your trauma. But it is also not-so-good in that it also blocks your ability to feel positive and pleasurable emotions. So while your brain is protecting you, it is also preventing feelings you need now more than ever (such as regaining a sense of safety, soothing your hurts, and feeling empowered for your survival).You are not a sociopath, so do not worry about that, but I would strongly recommend that you consider seeing a therapist or other supportive mental health professional to help you work through what is happened. There are ways for you to heal from your experience which will help you get back to a place where you can feel safe enough to ""feel"" again.  It might be an uncomfortable journey, at times, but you are already hurting and your life is being negatively impacted, now. Good therapy sometimes is like pulling out a splinter--it may hurt a bit to dig that sucker out, but once it's out, your body can finally start to heal.  It might seem better (and less painful) to leave it alone, and ignore (avoid) it. But you risk INFECTION by your inaction which will be 100 x worse than just digging it out. Best of luck to you!Learn more about me and my practice at www.EMDRheals.com",Nichole PriceSpecializing in Trauma and Related Disorders
