Response Number,Answer,Therapist
R1,"It is very common for people to have multiple issues that they want to (and need to) address in counseling.  I have had clients ask that same question and through more exploration, there is often an underlying fear that they  ""can't be helped"" or that they will ""be too much for their therapist."" I don't know if any of this rings true for you. But, most people have more than one problem in their lives and more often than not,  people have numerous significant stressors in their lives.  Let's face it, life can be complicated! Therapists are completely ready and equipped to handle all of the issues small or large that a client presents in session. Most therapists over the first couple of sessions will help you prioritize the issues you are facing so that you start addressing the issues that are causing you the most distress.  You can never have too many issues to address in counseling.  All of the issues you mention above can be successfully worked through in counseling.",Jennifer MolinariHypnotherapist & Licensed Counselor
R2,"I've never heard of someone having ""too many issues"" for therapy to be effective. A competent therapist will assist you in identifying the root causes of your problems and treat those first. If the underlying issues are addressed, your various symptoms should improve. For example, a history of sexual trauma can cause sleep disturbances, depression, anxiety, and low self-worth. I would start by addressing the underlying trauma using EMDR Therapy. EMDR allows the client to process unresolved trauma and to address negative core beliefs that develop in response to the trauma. By addressing these negative beliefs about ourselves, we can improve our self-esteem and feelings of self-worth.","Jason Lynch, MS, LMHC, LCAC, ADSIndividual & Couples Therapy"
R3,Absolutely not.  I strongly recommending working on one issue/need at a time.  In therapy you will set smart goals and objectives that will help you reach your goals.  I see you as a survivor and not a victim.  Best wishes to you.,Shakeeta TorresFaith Based Mental Health Counselor
R4,"Let me start by saying there are never too many concerns that you can bring into counselling. In fact, most people who come to see me for counselling have more than one issue they would like to work on in psychotherapy and most times these are all interconnected. In counselling, we work together, collaboratively, to figure out which issues you would like to address first and then together we develop an individualized plan of care. Basically, it’s like a road map of where you want to go, how are you going to get there, looking at stopovers, some scenic routes others possibly not so scenic, however, necessary. Of course, these plans can also change due to internal (what we have control over like our thoughts, feelings and behaviours) or external reasons (those things that are outside our control). I would encourage you to take the next step and reach out to a professional you can trust and build rapport with by co-journeying through whatever concerns you have by examining what has been working so far as you have learned to cope with some of your issues like insomnia, depression and anxiety, as well as being a breast cancer survivor. Then to help you by developing new coping strategies. Psychotherapy can be such a powerful tool to help you get to where it is you want to be. I know you can do it and you will see first-hand how psychotherapy will help you to move past these points in your life where you are feeling stuck. I like to quote Nike where their motto is, “just do it.” You can do it.","Noorayne ChevalierMA, RP, CCC, CCAC, LLP (Michigan)"
R5,"I just want to acknowledge you for the courage to take the step to get support. It can be overwhelming to have so many things going on, and it might be hard to figure out where to start. I truly believe that one of the biggest advantages to working with a therapist is that a therapist can help you prioritize and work with those issues that need to be addressed first and foremost. A therapist will help you with the flow of dealing with different aspects that come up. Some issues may even be related to one another. For examples, some clients with depression may also feel anxiety about their depression. Also, rest assured, many clients go to therapy for multiple issues. We are complex beings. I encourage you to reach out to a therapist and talk about this concern. You may find out that even upon the first meeting you will feel hopeful that you will be able to create a plan with a therapist to address your issues. I don't believe you have too many issues, I think starting sooner rather than later will put you on the path to healing. Good luck. I am rooting for you!","Toni Teixeira, LCSWYour road to healing begins here"
R6,"It's not really a question of whether you have too many issues for counseling but more what would you like to work on in counseling? You control the direction of sessions and depending on how you're feeling in a particular day can predict what direction that session takes. If you want to work on all the issues you've listed it will just take some dedication on your part to see through the counseling long enough to find a resolution to each of the issues that is satisfactory to you. You work at your own pace in counseling and it does seem like you may be overwhelmed with the ever-growing list. But you may just be in search of self improvement and making yourself better, which is a great thing. It seems as though you may need some form of resolution to what has happened in the past and to work through the trauma you have experienced. That may be the base of your counseling needs in which self esteem and depression/anxiety may fall underneath it as well. If you want to start counseling don't let what you need to work on overwhelm you. Find the counselor that best fits with you and together you both can tackle any issue.","Kelly Freeman, MS, LPC""Change Your Thoughts and you change the World."" -Norman Vincent Peale"
R7,"There is no such thing as too much. Start where you're at today and move forward or backwards to figure out the rest. You don't need to be anything less or more than you are right now. It may be a longer journey, but it's one that can ideally lead to healing. I hope that happens for you.",Danielle PalmerRelationship & Individual Counseling
R8,"The most direct answer is no. I would venture to guess that several of the things you are feeling (symptoms) are connected. I would recommend a trauma counselor. You have several strengths (resources) that you are able to pull from and I would encourage you to focus on them as you deal with the issues you have placed on the back burner for so long. Sometimes people are afraid to address things because they feel or believe that they won’t be able to handle it. Compare it to a tornado. The storm has passed, but you are still in hiding for fear of the aftermath (the mess left behind). A good therapist is like a personal organizer to help you.",Tracey PoirrierPolaris Counseling & Consulting Services PLLC 
R9,"It is never too late to get help and begin making significant changes and improvements in your life.  The right time is when you feel ready and open to change.  Sometimes when we have a history of trauma, like sexual abuse, the impact of that trauma can affect many areas of our lives as adults.  Working with a therapist who specializes in trauma is a great way to begin developing skills to manage present day life, learn to regulate your emotions and nervous system when you become triggered, and then in a safe environment have the opportunity to process past traumas so you can live your present life with more ease and joy.  People can and do recover from the impacts of trauma at any stage in their life.  It is never too late and you can feel better",Heather BradleyHelping you heal from trauma and live meaningful lives
R10,"You have been through so much and it sounds like you have a lot of things that have complied over the years. Regardless of the struggles you have been through, you do not have too many issues for counseling. Many times when someone starts out their counseling and healing journey, there are multiple things they would like to address and work on. If you decide to start counseling, you and your therapist can decide collaboratively what you would like to process and work on first. Be sure to express to your counselor if any of the above experiences you've been through is causing a lot of distress , as many times the first things addressed are the ones that are presently affecting your life or you emotionally. Often times when we experience negative situations in our life , but do not address them, they bottle up inside us and can manifest in other ways, such as depression or even physical symptoms like IBS or neck pain.  Counseling can give these bottled up emotions and situations a release. Given the situation you shared, not only do I not think that you have too many issues for counseling, but believe that you will be a great candidate and can get a lot from it.","Sara Makin, M.S.Ed.,NCC#1 Best Selling Author & Counselor"
